# правило	опровергнуто	подтверждено (самообучение verify)
api-break	0	18
aws-access-key	0	19
change-without-spec	0	118
ci-action-unpinned	0	1015
command-exec-runtime	188	5
cors-reflect-origin	519	16
cors-wildcard	378	4
csrf-disabled	123	0
dangerous-exec	1145	8
db-uri-password	374	0
dead-export	0	295
debt-marker	246	403
deep-nesting	6	2411
doc-drift	0	401
doc-missing	0	6
ecb-mode	123	0
email-literal	0	114
god-file	0	3105
hardcoded-crypto-material	59	0
header-crlf-injection	0	2
high-complexity	0	2745
insecure-cookie	125	8
insecure-deser	1041	14
insecure-deserialize	796	13
insecure-random	123	0
jwt-alg-confusion	567	4
jwt-none	1302	15
jwt-none-alg	1302	15
llm-excessive-agency	36	0
llm-output-exec	246	0
llm-output-raw-html	123	0
llm-prompt-build-untrusted	123	0
llm-sensitive-in-prompt	63	2
long-file	0	4726
open-redirect	369	0
panic-path	1258	846
path-traversal	0	12
pdn-in-logs	274	7
pdn-in-logs-multiline	104	58
permissive-authz	123	0
private-key	0	4
sast/dynamic-exec	0	23
sast/taint-command-exec	294	24
sast/taint-interproc	98	24
sast/taint-path	98	29
shell-injection	231	2
sql-injection	123	0
ssrf	0	33
ssrf-internal-host	260	20
ssrf-sink	0	33
ssti	224	10
static-iv	57	0
swallowed-error	369	0
taint-llm-output-exec	0	15
taint-llm-output-raw-html	0	66
tls-verify-disabled	485	23
tls-verify-off	485	21
unimplemented-stub	1470	0
unsafe-yaml-load	122	1
weak-hash	291	0
weak-pw-hash	168	0
weak-security-headers	5	13
xxe	246	4
xxe-parser-default	2	0
