# ailc-osv-snapshot	generated_at=2026-08-03	count=59902
# поля: id	ecosystem	package	introduced	fixed	severity	summary
# источник: официальные выгрузки OSV.dev, сборка tools/update-osv.py, записи о вредоносных пакетах (MAL-*) исключены
CVE-2026-48491	Go	Traefik	3.7.0	3.7.3	HIGH	Traefik: SNICheck ignores wildcard TLSOptions mappings, allowing domain-fronted mTLS bypass
CVE-2026-53622	Go	Traefik	0	3.7.3	HIGH	Traefik: HTTP/3 mTLS bypass via exact SNI TLSOptions lookup for wildcard and mixed-case hosts
CVE-2020-36559	Go	aahframe.work	0	0.12.4	HIGH	ahh vulnerable to Path Traversal
CVE-2026-25804	Go	antrea.io/antrea	0	2.3.2	HIGH	Antrea has invalid enforcement order for network policy rules caused by integer overflow
CVE-2026-25804	Go	antrea.io/antrea	2.4.0	2.4.3	HIGH	Antrea has invalid enforcement order for network policy rules caused by integer overflow
CVE-2026-34992	Go	antrea.io/antrea	0	1.11.0-alpha.0.0.20260225185322-738bad662b20	HIGH	Antrea has Missing Encryption of Sensitive Data
GHSA-3hwm-922r-47hw	Go	atomys.codes/stud42	0	0.23.0	HIGH	Stud42 vulnerable to denial of service
CVE-2023-52354	Go	blitiri.com.ar/go/chasquid	0	1.13.0	MEDIUM	chasquid HTTP Request/Response Smuggling vulnerability in github.com/albertito/chasquid in blitiri.com.ar/go/chasquid
CVE-2024-36127	Go	chainguard.dev/apko	0	0.14.5	HIGH	apko Exposure of HTTP basic auth credentials in log output
CVE-2025-53945	Go	chainguard.dev/apko	0.27.0	0.29.5	HIGH	apko is vulnerable to attack through incorrect permissions in /etc/ld.so.cache and other files
CVE-2026-25121	Go	chainguard.dev/apko	0.14.8	1.1.0	HIGH	apko has a path traversal in apko dirFS which allows filesystem writes outside base
CVE-2026-25122	Go	chainguard.dev/apko	0.14.8	1.1.0	MEDIUM	apko affected by unbounded resource consumption in expandapk.Split on attacker-controlled .apk streams
CVE-2026-25140	Go	chainguard.dev/apko	0.14.8	1.1.1	MEDIUM	apko affected by potential unbounded resource consumption in expandapk.ExpandApk on attacker-controlled .apk streams in…
CVE-2026-42574	Go	chainguard.dev/apko	0.14.8	1.2.5	HIGH	apko dirFS has a symlink-following path traversal that allows multiple entry points to escape the build root
CVE-2026-42575	Go	chainguard.dev/apko	0	1.2.7	HIGH	apko doesn't verify downloaded apk packages against APKINDEX checksum (package substitution possible)
CVE-2026-42576	Go	chainguard.dev/apko	0	1.2.7	MEDIUM	apko `DiscoverKeys` has a panic on non-rsa jwks key that causes crash during key discovery
CVE-2026-54174	Go	chainguard.dev/apko	0	1.2.9	HIGH	melange: Incomplete package integrity verification allows data section substitution
CVE-2025-54059	Go	chainguard.dev/melange	0.23.0	0.29.5	MEDIUM	melange's world-writable permissions expose SBOM files to potential image tampering
CVE-2026-24843	Go	chainguard.dev/melange	0.11.3	0.40.3	HIGH	melange QEMU runner could write files outside workspace directory
CVE-2026-24844	Go	chainguard.dev/melange	0.3.0	0.40.3	HIGH	melange pipeline working-directory could allow command injection
CVE-2026-25143	Go	chainguard.dev/melange	0.10.0	0.40.3	HIGH	melange affected by potential host command execution via license-check YAML mode patch pipeline
CVE-2026-25145	Go	chainguard.dev/melange	0.14.0	0.40.3	MEDIUM	melange has a path traversal in license-path which allows reading files outside workspace
CVE-2026-29049	Go	chainguard.dev/melange	0	0.43.4	MEDIUM	`melange update-cache` has unbounded HTTP download that can exhaust disk in CI
CVE-2026-29050	Go	chainguard.dev/melange	0.32.0	0.43.4	MEDIUM	melange has Path Traversal When Resolving External Pipelines via Unvalidated pipeline[].uses
CVE-2026-29051	Go	chainguard.dev/melange	0.32.0	0.43.4	LOW	melange has Path Traversal via .PKGINFO in --persist-lint-results
CVE-2026-54174	Go	chainguard.dev/melange	0	0.50.4	HIGH	melange: Incomplete package integrity verification allows data section substitution
CVE-2026-41589	Go	charm.land/wish/v2	0	2.0.1	CRITICAL	Wish has SCP Path Traversal that allows arbitrary file read/write
CVE-2018-25046	Go	code.cloudfoundry.org/archiver	0	0.0.0-20180523222229-09b5706aa936	CRITICAL	Cloud Foundry Archiver vulnerable to path traversal
CVE-2019-11289	Go	code.cloudfoundry.org/gorouter	0	0.0.0-20191101214924-b1b5c44e050f	HIGH	Cloud Foundry Routing Improper Input Validation vulnerability
CVE-2018-15192	Go	code.gitea.io/gitea	0	1.16.0-rc1	HIGH	Gogs and Gitea SSRF Vulnerability
CVE-2018-18926	Go	code.gitea.io/gitea	0	1.5.2	CRITICAL	Gitea Remote Code Execution (RCE)
CVE-2019-1000002	Go	code.gitea.io/gitea	0	1.6.3	MEDIUM	Gitea Arbitrary File Delete Vulnerability
CVE-2019-1010261	Go	code.gitea.io/gitea	0	1.7.1	MEDIUM	Gitea XSS Vulnerability
CVE-2019-1010314	Go	code.gitea.io/gitea	1.7.2	1.7.4	MEDIUM	Gitea XSS Vulnerability in Repository Description
CVE-2019-11576	Go	code.gitea.io/gitea	0	1.8.0	CRITICAL	Gitea Allows 1FA Even for 2FA-Enrolled Accounts
CVE-2020-13246	Go	code.gitea.io/gitea	0	1.12.0	MEDIUM	Denial of Service in Gitea in code.gitea.io/gitea
CVE-2020-14144	Go	code.gitea.io/gitea	1.1.0	1.12.6	HIGH	Arbitrary Code Execution in Gitea
CVE-2021-28378	Go	code.gitea.io/gitea	0	1.13.4	MEDIUM	Cross-site Scripting in Gitea
CVE-2021-29134	Go	code.gitea.io/gitea	0	1.13.6	MEDIUM	Path Traversal in Gitea
CVE-2021-3382	Go	code.gitea.io/gitea	1.9.0	1.13.2	MEDIUM	Buffer Overflow in gitea in code.gitea.io/gitea
CVE-2021-45327	Go	code.gitea.io/gitea	0	1.11.2	MEDIUM	Capture-replay in Gitea in code.gitea.io/gitea
CVE-2021-45330	Go	code.gitea.io/gitea	0	1.6.0	CRITICAL	Improper Privilege Management in Gitea
CVE-2021-45331	Go	code.gitea.io/gitea	0	1.5.0	CRITICAL	Reuse of one time passwords allowed in Gitea
CVE-2022-0905	Go	code.gitea.io/gitea	0	1.16.4	HIGH	Gitea Missing Authorization vulnerability
CVE-2022-1058	Go	code.gitea.io/gitea	0	1.16.5	MEDIUM	Gitea Open Redirect
CVE-2022-1928	Go	code.gitea.io/gitea	0	1.16.9	MEDIUM	Stored Cross-site Scripting in gitea
CVE-2022-27313	Go	code.gitea.io/gitea	0	1.16.4	HIGH	Arbitrary file deletion in gitea
CVE-2022-30781	Go	code.gitea.io/gitea	0	1.16.7	HIGH	Shell command injection in gitea
CVE-2022-38183	Go	code.gitea.io/gitea	0	1.16.9	MEDIUM	Gitea allowed assignment of private issues
CVE-2022-38795	Go	code.gitea.io/gitea	0	1.17.2	MEDIUM	Gitea erroneous repo clones
CVE-2022-42968	Go	code.gitea.io/gitea	0	1.17.3	MEDIUM	Gitea vulnerable to Argument Injection in code.gitea.io/gitea
CVE-2023-3515	Go	code.gitea.io/gitea	0	1.19.4	LOW	code.gitea.io/gitea Open Redirect vulnerability
CVE-2024-6886	Go	code.gitea.io/gitea	0	1.22.1	CRITICAL	Gitea Cross-site Scripting Vulnerability
CVE-2025-68938	Go	code.gitea.io/gitea	0	1.25.2	MEDIUM	Gitea mishandles authorization for deletion of releases
CVE-2025-68940	Go	code.gitea.io/gitea	0	1.22.5	LOW	Gitea doesn't adequately enforce branch deletion permissions after merging a pull request.
CVE-2025-68941	Go	code.gitea.io/gitea	0	1.22.3	MEDIUM	Gitea mishandles access to a private resource upon receiving an API token with scope limited to public resources
CVE-2025-68942	Go	code.gitea.io/gitea	0	1.22.2	MEDIUM	Gitea allows XSS because the search input box (for creating tags and branches) is v-html instead of v-text
CVE-2025-68943	Go	code.gitea.io/gitea	0	1.21.8	MEDIUM	Gitea inadvertently discloses users' login times by allowing (for example) the lastlogintime explore/users sort order
CVE-2025-68944	Go	code.gitea.io/gitea	0	1.22.2	MEDIUM	Gitea sometimes mishandles propagation of token scope for access control within one of its own package registries
CVE-2025-68945	Go	code.gitea.io/gitea	0	1.21.2	MEDIUM	Gitea: anonymous user can visit private user's project
CVE-2025-68946	Go	code.gitea.io/gitea	0	1.20.1	MEDIUM	Gitea vulnerable to Cross-site Scripting
CVE-2025-69413	Go	code.gitea.io/gitea	0	1.25.2	MEDIUM	Gitea's /api/v1/user endpoint has different responses for failed authentication depending on whether a username exists
CVE-2026-0798	Go	code.gitea.io/gitea	0	1.25.4	LOW	Gitea may send release notification emails for private repositories to users whose access has been revoked
CVE-2026-20706	Go	code.gitea.io/gitea	0	1.26.2	MEDIUM	Gitea: Token scope bypass on web archive download endpoint
CVE-2026-20736	Go	code.gitea.io/gitea	0	1.25.4	LOW	Gitea has improper access control for uploaded attachments
CVE-2026-20750	Go	code.gitea.io/gitea	0	1.25.4	MEDIUM	Gitea does not properly validate project ownership in organization project operations in code.gitea.io/gitea
CVE-2026-20779	Go	code.gitea.io/gitea	1.5.0	1.26.3	HIGH	Gitea: TOTP TOCTOU race on web 2FA paths + missing replay check on Basic-Auth `X-Gitea-OTP` surface
CVE-2026-20800	Go	code.gitea.io/gitea	0	1.25.4	MEDIUM	Gitea improperly exposes issue and pull request titles in code.gitea.io/gitea
CVE-2026-20883	Go	code.gitea.io/gitea	0	1.25.4	MEDIUM	Gitea improperly exposes issue titles and repository names through previously started stopwatches in code.gitea.io/gitea
CVE-2026-20888	Go	code.gitea.io/gitea	0	1.25.4	MEDIUM	Gitea does not properly verify authorization when canceling scheduled auto-merges via the web interface in code.gitea.i…
CVE-2026-20896	Go	code.gitea.io/gitea	0	1.26.3	CRITICAL	Gitea Docker image: `REVERSE_PROXY_TRUSTED_PROXIES = *` default lets any source IP impersonate any user via `X-WEBAUTH-…
CVE-2026-20897	Go	code.gitea.io/gitea	0	1.25.4	MEDIUM	Gitea does not properly validate repository ownership when deleting Git LFS locks in code.gitea.io/gitea
CVE-2026-20904	Go	code.gitea.io/gitea	0	1.25.4	MEDIUM	Gitea does not properly validate ownership when toggling OpenID URI visibility in code.gitea.io/gitea
